date,price,company,sector
2017-03-10,74.26,MSFT,technology
2017-02-10,74.61,MSFT,technology
2017-09-29,74.49,MSFT,technology
2017-09-28,73.87,MSFT,technology
2017-09-27,73.85,MSFT,technology
2017-09-26,73.26,MSFT,technology
2017-09-25,73.26,MSFT,technology
2017-09-22,74.41,MSFT,technology
2017-09-21,74.21,MSFT,technology
2017-09-20,74.94,MSFT,technology
2017-09-19,75.44,MSFT,technology
2017-09-18,75.16,MSFT,technology
2017-09-15,75.31,MSFT,technology
2017-09-14,74.77,MSFT,technology
2017-09-13,75.21,MSFT,technology
2017-12-09,74.68,MSFT,technology
2017-11-09,74.76,MSFT,technology
2017-08-09,73.98,MSFT,technology
2017-07-09,74.34,MSFT,technology
2017-06-09,73.4,MSFT,technology
2017-05-09,73.61,MSFT,technology
2017-01-09,73.94,MSFT,technology
2017-08-31,74.77,MSFT,technology
2017-08-30,74.01,MSFT,technology
2017-08-29,73.05,MSFT,technology
2017-08-28,72.83,MSFT,technology
2017-08-25,72.82,MSFT,technology
2017-08-24,72.69,MSFT,technology
2017-08-23,72.72,MSFT,technology
2017-08-22,73.16,MSFT,technology
2017-08-21,72.15,MSFT,technology
2017-08-18,72.49,MSFT,technology
2017-08-17,72.4,MSFT,technology
2017-08-16,73.65,MSFT,technology
2017-08-15,73.22,MSFT,technology
2017-08-14,73.59,MSFT,technology
2017-11-08,72.5,MSFT,technology
2017-10-08,71.41,MSFT,technology
2017-09-08,72.47,MSFT,technology
2017-08-08,72.79,MSFT,technology
2017-07-08,72.4,MSFT,technology
2017-04-08,72.68,MSFT,technology
2017-03-08,72.15,MSFT,technology
2017-02-08,72.26,MSFT,technology
2017-01-08,72.58,MSFT,technology
2017-07-31,72.7,MSFT,technology
2017-07-28,73.04,MSFT,technology
2017-07-27,73.16,MSFT,technology
2017-07-26,74.05,MSFT,technology
2017-07-25,74.19,MSFT,technology
2017-07-24,73.6,MSFT,technology
2017-07-21,73.79,MSFT,technology
2017-07-20,74.22,MSFT,technology
2017-07-19,73.86,MSFT,technology
2017-07-18,73.3,MSFT,technology
2017-07-17,73.35,MSFT,technology
2017-07-14,72.78,MSFT,technology
2017-07-13,71.77,MSFT,technology
2017-12-07,71.15,MSFT,technology
2017-11-07,69.99,MSFT,technology
2017-10-07,69.98,MSFT,technology
2017-07-07,69.46,MSFT,technology
2017-06-07,68.57,MSFT,technology
2017-05-07,69.08,MSFT,technology
2017-03-07,68.17,MSFT,technology
2017-06-30,68.93,MSFT,technology
2017-06-29,68.49,MSFT,technology
2017-06-28,69.8,MSFT,technology
2017-06-27,69.21,MSFT,technology
2017-06-26,70.53,MSFT,technology
2017-06-23,71.21,MSFT,technology
2017-06-22,70.26,MSFT,technology
2017-06-21,70.27,MSFT,technology
2017-06-20,69.91,MSFT,technology
2017-06-19,70.87,MSFT,technology
2017-06-16,70.0,MSFT,technology
2017-06-15,69.9,MSFT,technology
2017-06-14,70.27,MSFT,technology
2017-06-13,70.65,MSFT,technology
2017-12-06,69.78,MSFT,technology
2017-09-06,70.32,MSFT,technology
2017-08-06,71.95,MSFT,technology
2017-07-06,72.39,MSFT,technology
2017-06-06,72.52,MSFT,technology
2017-05-06,72.28,MSFT,technology
2017-02-06,71.76,MSFT,technology
2017-01-06,70.1,MSFT,technology
2017-05-31,69.84,MSFT,technology
2017-05-30,70.41,MSFT,technology
2017-05-26,69.96,MSFT,technology
2017-05-25,69.62,MSFT,technology
2017-05-24,68.77,MSFT,technology
2017-05-23,68.68,MSFT,technology
2017-05-22,68.45,MSFT,technology
2017-05-19,67.69,MSFT,technology
2017-05-18,67.71,MSFT,technology
2017-05-17,67.48,MSFT,technology
2017-05-16,69.41,MSFT,technology
2017-05-15,68.43,MSFT,technology
2017-12-05,68.38,MSFT,technology
2017-11-05,68.46,MSFT,technology
2017-10-05,69.31,MSFT,technology
2017-09-05,69.04,MSFT,technology
2017-08-05,68.94,MSFT,technology
2017-05-05,69.0,MSFT,technology
2017-04-05,68.81,MSFT,technology
2017-03-05,69.08,MSFT,technology
2017-02-05,69.3,MSFT,technology
2017-01-05,69.41,MSFT,technology
2017-04-28,68.46,MSFT,technology
2017-04-27,68.27,MSFT,technology
2017-04-26,67.83,MSFT,technology
2017-04-25,67.92,MSFT,technology
2017-04-24,67.53,MSFT,technology
2017-04-21,66.4,MSFT,technology
2017-04-20,65.5,MSFT,technology
2017-04-19,65.04,MSFT,technology
2017-04-18,65.39,MSFT,technology
2017-04-17,65.48,MSFT,technology
2017-04-13,64.95,MSFT,technology
2017-12-04,65.23,MSFT,technology
2017-11-04,65.48,MSFT,technology
2017-10-04,65.53,MSFT,technology
2017-07-04,65.68,MSFT,technology
2017-06-04,65.73,MSFT,technology
2017-05-04,65.56,MSFT,technology
2017-04-04,65.73,MSFT,technology
2017-03-04,65.55,MSFT,technology
2017-03-31,65.86,MSFT,technology
2017-03-30,65.71,MSFT,technology
2017-03-29,65.47,MSFT,technology
2017-03-28,65.29,MSFT,technology
2017-03-27,65.1,MSFT,technology
2017-03-24,64.98,MSFT,technology
2017-03-23,64.87,MSFT,technology
2017-03-22,65.03,MSFT,technology
2017-03-21,64.21,MSFT,technology
2017-03-20,64.93,MSFT,technology
2017-03-17,64.87,MSFT,technology
2017-03-16,64.64,MSFT,technology
2017-03-15,64.75,MSFT,technology
2017-03-14,64.41,MSFT,technology
2017-03-13,64.71,MSFT,technology
2017-10-03,64.93,MSFT,technology
2017-09-03,64.73,MSFT,technology
2017-08-03,64.99,MSFT,technology
2017-07-03,64.4,MSFT,technology
2017-06-03,64.27,MSFT,technology
2017-03-03,64.25,MSFT,technology
2017-02-03,64.01,MSFT,technology
2017-01-03,64.94,MSFT,technology
2017-02-28,63.98,MSFT,technology
2017-02-27,64.23,MSFT,technology
2017-02-24,64.62,MSFT,technology
2017-02-23,64.62,MSFT,technology
2017-02-22,64.36,MSFT,technology
2017-02-21,64.49,MSFT,technology
2017-02-17,64.62,MSFT,technology
2017-02-16,64.52,MSFT,technology
2017-02-15,64.53,MSFT,technology
2017-02-14,64.57,MSFT,technology
2017-02-13,64.72,MSFT,technology
2017-10-02,64.0,MSFT,technology
2017-09-02,64.06,MSFT,technology
2017-08-02,63.34,MSFT,technology
2017-07-02,63.43,MSFT,technology
2017-06-02,63.64,MSFT,technology
2017-03-02,63.68,MSFT,technology
2017-02-02,63.17,MSFT,technology
2017-01-02,63.58,MSFT,technology
